,label,centroid-0,centroid-1
98,99,482.2446887047822,1119.7914855221065
99,100,437.0,724.0
100,101,451.2294117647059,790.4235294117647
101,102,457.84057971014494,726.2995169082126
102,103,462.86,761.58
103,104,492.9798008534851,1281.9486486486487
104,105,496.9210669569951,1445.8530212302667
105,106,502.3676032354193,53.984674329501914
106,107,517.3296703296703,735.3538461538461
107,108,512.894304414427,256.66063222392427
108,109,512.9235880398671,506.04449454200284
109,110,561.2027668520277,823.0531669605317
110,111,564.4985481742191,987.6733831940168
111,112,556.3451859271316,1428.1042944785277
112,113,574.9556261529002,416.00081984013116
113,114,573.7230458900656,155.76732223903176
114,115,578.7824470063221,1181.1879880996653
115,116,576.3994252873563,1575.5603448275863
116,117,586.5471673929761,625.612663419636
117,118,603.7853003161223,1317.6933614330874
118,119,637.9321875365368,80.79235356015433
119,120,639.7502585315408,880.0706652878317
120,121,645.5103312063203,1540.6598298389547
121,122,642.3492063492064,1413.5512886158047
122,123,638.8658743633276,312.1739671760045
123,124,653.3620031992125,743.9390919158361
124,125,653.0887936313534,545.991304347826
125,126,659.2091317106853,1047.5838943552562
126,127,677.18345323741,1245.0079720007777
127,128,715.9199606363785,46.16909955715926
128,129,726.6338720347793,205.95605330309044
129,130,715.491862567812,326.05379746835445
130,131,718.0722341568206,446.5433673469388
131,132,724.240836760236,1490.955301269444
132,133,730.3718302786845,874.6709766507657
133,134,728.4306220095693,648.0788008983498
134,135,767.2313068453806,1386.7597893729057
135,136,739.4202409638555,1582.7759036144578
136,137,755.6532632608164,996.4886335859203
137,138,742.6415832970857,1145.3460925039872
138,139,790.7316816025303,1281.9218502899314
139,140,785.2108317214701,764.314982889451
140,141,809.0693583849691,98.52508494903059
141,142,803.4951371752069,493.53897517781974
142,143,799.1425959780621,4.09872029250457
143,144,810.4285714285714,361.78716517857146
144,145,824.8285962247776,1509.0041223692774
145,146,833.0263502884111,651.9116413214473
146,147,821.2270911360799,1151.5360799001248
147,148,790.0,263.0
148,149,835.013698630137,1593.6662515566625
149,150,799.0,221.0
150,151,799.0,223.0
151,152,800.1111111111111,227.33333333333334
152,153,811.9508196721312,258.61475409836066
153,154,819.6238095238095,196.43333333333334
154,155,852.0194897624001,891.0214606372496
155,156,817.4705882352941,235.05882352941177
156,157,866.696400948747,1023.4862328555223
157,158,819.5555555555555,245.55555555555554
158,159,866.0965147453084,565.2458109919571
159,160,886.921266317196,270.78168362627196
160,161,843.4,794.2
161,162,845.0,736.0
162,163,857.0958904109589,731.1369863013699
163,164,854.42,772.6333333333333
164,165,901.6752637749121,1318.8367526377492
165,166,859.0,790.0
166,167,898.4307916464303,32.57479358912093
167,168,908.9788128468135,147.95359004540103
168,169,886.6878612716763,1119.4104046242774
169,170,927.0003246489733,423.88174661147633
170,171,917.0153379403338,784.0510702848475
171,172,916.3367088607595,1460.1240506329113
172,173,932.581244813278,1559.5603319502075
173,174,895.3333333333334,1132.6666666666667
174,175,959.4392606945894,688.2159785362945
175,176,967.2190682918684,964.5857405242946
176,177,952.6221802142408,1120.9754253308129
177,178,933.518779342723,589.7511737089202
178,179,981.349932885906,855.9138255033557
179,180,981.3482663393679,54.75176434489107
180,181,999.059815546772,565.2075098814229
181,182,991.7795275590552,215.23473696222754
182,183,999.0085725677831,1238.5927033492824
183,184,1016.4237846433439,1506.4993184915947
184,185,1012.5411082940964,1371.5108052637934
185,186,1032.602971634399,387.8
186,187,1020.8202731847591,1086.2934938892884
187,188,1060.1248132398575,702.9364440868866
188,189,1073.0923771880293,949.4016939582157
